giorni_cumulativi,vanumero_colonne,oversample,vicini,val_accuracy,train_accuracy
6,less,False,9,0.43,0.57
6,less,False,15,0.44,0.55
6,less,False,21,0.46,0.53
6,less,False,30,0.48,0.52
6,less,False,36,0.49,0.51
6,less,False,39,0.5,0.52
6,less,False,105,0.51,0.51
6,few,True,9,0.36,0.6
6,few,True,12,0.38,0.57
6,few,True,21,0.39,0.52
6,few,True,27,0.4,0.51
6,few,True,48,0.41,0.48
6,few,True,66,0.42,0.48
6,few,True,84,0.43,0.47
6,few,False,9,0.42,0.57
6,few,False,12,0.45,0.55
6,few,False,18,0.46,0.54
6,few,False,27,0.47,0.53
6,few,False,30,0.48,0.52
6,few,False,66,0.49,0.52
6,few,False,78,0.5,0.51
7,all,True,9,0.36,0.61
7,all,True,12,0.38,0.57
7,all,True,27,0.4,0.53
7,all,True,81,0.42,0.47
7,all,False,9,0.43,0.57
7,all,False,12,0.44,0.56
7,all,False,30,0.45,0.53
7,all,False,60,0.46,0.52
7,all,False,87,0.47,0.51
7,all,False,105,0.48,0.5
7,all,False,114,0.49,0.5
7,less,True,9,0.35,0.59
7,less,True,12,0.36,0.56
7,less,True,15,0.38,0.56
7,less,True,24,0.39,0.52
7,less,True,27,0.4,0.52
7,less,True,30,0.41,0.51
7,less,True,114,0.42,0.46
7,less,False,9,0.4,0.57
7,less,False,12,0.42,0.56
7,less,False,15,0.44,0.55
7,less,False,21,0.46,0.54
7,less,False,54,0.47,0.52
7,less,False,81,0.48,0.51
7,few,True,9,0.38,0.6
7,few,True,15,0.4,0.55
7,few,True,27,0.41,0.51
7,few,True,30,0.42,0.5
7,few,False,9,0.42,0.57
7,few,False,12,0.43,0.56
7,few,False,18,0.44,0.54
7,few,False,21,0.45,0.53
7,few,False,24,0.46,0.53
7,few,False,54,0.47,0.52
7,few,False,69,0.48,0.52
8,all,True,9,0.37,0.6
8,all,True,12,0.38,0.57
8,all,True,36,0.39,0.5
8,all,True,45,0.4,0.49
8,all,True,54,0.41,0.49
8,all,True,57,0.42,0.49
8,all,True,60,0.43,0.49
8,all,True,93,0.44,0.48
8,all,False,9,0.4,0.58
8,all,False,12,0.43,0.56
8,all,False,18,0.45,0.54
8,all,False,24,0.46,0.54
8,all,False,30,0.48,0.53
8,all,False,96,0.49,0.51
8,less,True,9,0.36,0.59
8,less,True,12,0.38,0.57
8,less,True,24,0.39,0.52
8,less,True,27,0.4,0.52
8,less,True,33,0.41,0.51
8,less,True,36,0.42,0.5
8,less,True,84,0.43,0.49
8,less,False,9,0.4,0.57
8,less,False,12,0.42,0.56
8,less,False,15,0.43,0.55
8,less,False,18,0.45,0.54
8,less,False,27,0.46,0.53
8,less,False,36,0.47,0.53
8,less,False,42,0.48,0.52
8,less,False,81,0.49,0.51
8,few,True,9,0.35,0.59
8,few,True,12,0.38,0.56
8,few,True,18,0.39,0.54
8,few,True,45,0.4,0.49
8,few,True,51,0.42,0.49
8,few,True,114,0.43,0.47
8,few,False,9,0.41,0.57
8,few,False,12,0.43,0.56
8,few,False,18,0.45,0.54
8,few,False,24,0.46,0.53
8,few,False,39,0.47,0.52
8,few,False,42,0.48,0.52
8,few,False,99,0.49,0.5
9,all,True,9,0.35,0.59
9,all,True,15,0.37,0.54
9,all,True,30,0.38,0.51
9,all,True,33,0.39,0.5
9,all,True,36,0.41,0.5
9,all,True,54,0.42,0.48
9,all,True,60,0.43,0.49
9,all,True,69,0.44,0.49
9,all,True,84,0.46,0.47
9,all,False,9,0.42,0.58
9,all,False,12,0.43,0.56
9,all,False,15,0.45,0.55
9,all,False,27,0.46,0.53
9,all,False,33,0.49,0.53
9,less,True,9,0.35,0.6
9,less,True,15,0.36,0.55
9,less,True,18,0.37,0.55
9,less,True,30,0.38,0.52
9,less,True,42,0.39,0.5
9,less,True,48,0.4,0.49
9,less,True,54,0.41,0.49
9,less,True,60,0.42,0.49
9,less,True,69,0.43,0.49
9,less,True,90,0.44,0.48
9,less,True,96,0.45,0.48
9,less,False,9,0.41,0.58
9,less,False,12,0.43,0.56
9,less,False,15,0.45,0.55
9,less,False,24,0.46,0.54
9,less,False,27,0.47,0.53
9,less,False,36,0.48,0.52
9,few,True,9,0.38,0.59
9,few,True,15,0.39,0.55
9,few,True,51,0.4,0.5
9,few,True,63,0.41,0.49
9,few,True,66,0.42,0.49
9,few,True,72,0.43,0.48
9,few,True,81,0.44,0.48
9,few,True,105,0.45,0.47
9,few,False,9,0.44,0.58
9,few,False,18,0.45,0.55
9,few,False,21,0.46,0.54
9,few,False,27,0.47,0.53
9,few,False,30,0.48,0.53
10,all,True,9,0.39,0.6
10,all,True,39,0.4,0.49
10,all,True,42,0.41,0.49
10,all,True,45,0.42,0.49
10,all,True,63,0.43,0.48
10,all,True,69,0.45,0.47
10,all,True,81,0.46,0.48
10,all,False,9,0.41,0.57
10,all,False,12,0.43,0.56
10,all,False,15,0.45,0.54
10,all,False,21,0.46,0.53
10,all,False,33,0.47,0.53
10,all,False,36,0.48,0.53
10,all,False,51,0.49,0.52
10,less,True,9,0.37,0.59
10,less,True,15,0.38,0.56
10,less,True,21,0.39,0.53
10,less,True,33,0.4,0.49
10,less,True,39,0.41,0.49
10,less,True,42,0.42,0.49
10,less,True,54,0.43,0.49
10,less,True,60,0.44,0.49
10,less,True,87,0.45,0.48
10,less,True,105,0.47,0.47
10,less,False,9,0.39,0.57
10,less,False,12,0.4,0.55
10,less,False,15,0.45,0.55
10,less,False,21,0.46,0.53
10,less,False,27,0.47,0.52
10,less,False,30,0.48,0.53
10,less,False,36,0.49,0.53
10,less,False,48,0.5,0.52
10,few,True,9,0.38,0.59
10,few,True,15,0.39,0.54
10,few,True,18,0.4,0.53
10,few,True,24,0.41,0.52
10,few,True,36,0.43,0.5
10,few,True,39,0.45,0.5
10,few,False,9,0.43,0.58
10,few,False,12,0.44,0.56
10,few,False,15,0.45,0.55
10,few,False,18,0.46,0.54
10,few,False,24,0.47,0.53
10,few,False,27,0.48,0.53
10,few,False,30,0.49,0.53
