experiment,datetime,epoch,loss,accuracy,val_loss,val_accuracy
model_1_dense,2023-11-30 09:45:55,0,1.0500729084014893,0.4669707715511322,1.0053597688674927,0.5130434632301331
model_1_dense,2023-11-30 09:45:57,1,1.0042049884796143,0.51613450050354,0.9870671629905701,0.5246376991271973
model_1_dense,2023-11-30 09:45:58,2,0.9805632829666138,0.5298192501068115,0.9781333804130554,0.5275362133979797
model_1_dense,2023-11-30 09:45:59,3,0.9647300839424133,0.5392802953720093,0.9832440614700317,0.5333333611488342
model_1_dense,2023-11-30 09:45:59,4,0.9536188840866089,0.5473897457122803,0.9808008074760437,0.530434787273407
model_1_dense,2023-11-30 09:46:00,5,0.9443121552467346,0.5580334663391113,0.9922817349433899,0.5275362133979797
model_1_dense,2023-11-30 09:46:00,6,0.9318544268608093,0.5642845034599304,0.9817932844161987,0.5275362133979797
model_1_dense,2023-11-30 09:46:01,7,0.9206443428993225,0.5685082077980042,0.9840908646583557,0.539130449295044
model_1_dense,2023-11-30 09:46:01,8,0.9100928902626038,0.5764487385749817,0.9903877377510071,0.5652173757553101
model_1_dense,2023-11-30 09:46:01,9,0.8985889554023743,0.5808413624763489,0.9938358068466187,0.5507246255874634
model_1_dense,2023-11-30 09:46:02,10,0.8852472305297852,0.5833755731582642,0.996823787689209,0.5420289635658264
model_1_dense,2023-11-30 09:46:02,11,0.8770180344581604,0.5994255542755127,1.0054048299789429,0.5362318754196167
