1,x,2
4.75,3.25,1.83
2.15,3.35,3.40
1.30,5.50,8.75
1.60,3.90,5.75
1.60,4.00,5.25
1.45,4.50,6.75
2.25,3.50,3.00
2.40,3.00,3.25
4.75,3.70,1.75
1.30,5.50,9.00
